识别时间,交易日,龙头品种,跟涨品种,板块,方向,20日收益率相关系数,相关样本数,龙头当前涨跌幅,跟涨品种当前涨跌幅,触发原因
2018-02-26 09:59:00,2018-02-26,CS,C,谷物淀粉,向上,0.8785483205,20,0.0172284154,0.0110270528,同板块；过去20个交易日日收益率相关系数=0.8785，不低于阈值0.50；当前方向一致：龙头=1.7228%，候选=1.1027%，同为上涨
2018-02-26 13:59:00,2018-02-26,CS,C,谷物淀粉,向上,0.8785483205,20,0.0175164142,0.0076990173,同板块；过去20个交易日日收益率相关系数=0.8785，不低于阈值0.50；当前方向一致：龙头=1.7516%，候选=0.7699%，同为上涨
2018-02-26 14:59:00,2018-02-26,CS,C,谷物淀粉,向上,0.8785483205,20,0.0180638683,0.0073835590,同板块；过去20个交易日日收益率相关系数=0.8785，不低于阈值0.50；当前方向一致：龙头=1.8064%，候选=0.7384%，同为上涨
2018-02-26 15:00:00,2018-02-26,CS,C,谷物淀粉,向上,0.8785483205,20,0.0181912388,0.0073751054,同板块；过去20个交易日日收益率相关系数=0.8785，不低于阈值0.50；当前方向一致：龙头=1.8191%，候选=0.7375%，同为上涨
2018-03-02 11:30:00,2018-03-02,RM,M,油脂油料,向上,0.9519253859,20,0.0361097663,0.0280736397,同板块；过去20个交易日日收益率相关系数=0.9519，不低于阈值0.50；当前方向一致：龙头=3.6110%，候选=2.8074%，同为上涨
2018-03-02 13:59:00,2018-03-02,RM,M,油脂油料,向上,0.9519253859,20,0.0359949332,0.0281634690,同板块；过去20个交易日日收益率相关系数=0.9519，不低于阈值0.50；当前方向一致：龙头=3.5995%，候选=2.8163%，同为上涨
2018-03-23 15:00:00,2018-03-23,RB,HC,黑色钢矿,向下,0.9002439827,20,-0.0644526593,-0.0574477535,同板块；过去20个交易日日收益率相关系数=0.9002，不低于阈值0.50；当前方向一致：龙头=-6.4453%，候选=-5.7448%，同为下跌
2018-03-23 15:00:00,2018-03-23,RB,I,黑色钢矿,向下,0.8286127827,20,-0.0644526593,-0.0607031867,同板块；过去20个交易日日收益率相关系数=0.8286，不低于阈值0.50；当前方向一致：龙头=-6.4453%，候选=-6.0703%，同为下跌
2018-03-30 11:30:00,2018-03-30,M,RM,油脂油料,向上,0.9401447066,20,0.0465062848,0.0382322587,同板块；过去20个交易日日收益率相关系数=0.9401，不低于阈值0.50；当前方向一致：龙头=4.6506%，候选=3.8232%，同为上涨
2018-03-30 11:30:00,2018-03-30,M,A,油脂油料,向上,0.6569529647,20,0.0465062848,0.0201057614,同板块；过去20个交易日日收益率相关系数=0.6570，不低于阈值0.50；当前方向一致：龙头=4.6506%，候选=2.0106%，同为上涨
2018-03-30 13:59:00,2018-03-30,M,RM,油脂油料,向上,0.9401447066,20,0.0460260051,0.0412403304,同板块；过去20个交易日日收益率相关系数=0.9401，不低于阈值0.50；当前方向一致：龙头=4.6026%，候选=4.1240%，同为上涨
2018-03-30 13:59:00,2018-03-30,M,A,油脂油料,向上,0.6569529647,20,0.0460260051,0.0093360633,同板块；过去20个交易日日收益率相关系数=0.6570，不低于阈值0.50；当前方向一致：龙头=4.6026%，候选=0.9336%，同为上涨
2018-03-30 14:59:00,2018-03-30,M,RM,油脂油料,向上,0.9401447066,20,0.0452907749,0.0388638687,同板块；过去20个交易日日收益率相关系数=0.9401，不低于阈值0.50；当前方向一致：龙头=4.5291%，候选=3.8864%，同为上涨
2018-03-30 14:59:00,2018-03-30,M,A,油脂油料,向上,0.6569529647,20,0.0452907749,0.0045911708,同板块；过去20个交易日日收益率相关系数=0.6570，不低于阈值0.50；当前方向一致：龙头=4.5291%，候选=0.4591%，同为上涨
2018-03-30 15:00:00,2018-03-30,M,RM,油脂油料,向上,0.9401447066,20,0.0456746514,0.0384285191,同板块；过去20个交易日日收益率相关系数=0.9401，不低于阈值0.50；当前方向一致：龙头=4.5675%，候选=3.8429%，同为上涨
2018-03-30 15:00:00,2018-03-30,M,A,油脂油料,向上,0.6569529647,20,0.0456746514,0.0039722883,同板块；过去20个交易日日收益率相关系数=0.6570，不低于阈值0.50；当前方向一致：龙头=4.5675%，候选=0.3972%，同为上涨
2018-04-09 11:30:00,2018-04-09,RM,M,油脂油料,向上,0.9637483605,20,0.0417587359,0.0488584603,同板块；过去20个交易日日收益率相关系数=0.9637，不低于阈值0.50；当前方向一致：龙头=4.1759%，候选=4.8858%，同为上涨
2018-04-09 11:30:00,2018-04-09,RM,A,油脂油料,向上,0.5144489850,20,0.0417587359,0.0259105878,同板块；过去20个交易日日收益率相关系数=0.5144，不低于阈值0.50；当前方向一致：龙头=4.1759%，候选=2.5911%，同为上涨
2018-04-09 13:59:00,2018-04-09,RM,M,油脂油料,向上,0.9637483605,20,0.0413852544,0.0433140325,同板块；过去20个交易日日收益率相关系数=0.9637，不低于阈值0.50；当前方向一致：龙头=4.1385%，候选=4.3314%，同为上涨
2018-04-09 13:59:00,2018-04-09,RM,A,油脂油料,向上,0.5144489850,20,0.0413852544,0.0266074278,同板块；过去20个交易日日收益率相关系数=0.5144，不低于阈值0.50；当前方向一致：龙头=4.1385%，候选=2.6607%，同为上涨
2018-04-19 13:59:00,2018-04-19,AL,CU,有色基本金属,向上,0.6044522667,20,0.0331556203,0.0147183253,同板块；过去20个交易日日收益率相关系数=0.6045，不低于阈值0.50；当前方向一致：龙头=3.3156%，候选=1.4718%，同为上涨
2018-04-19 13:59:00,2018-04-19,AL,NI,有色基本金属,向上,0.5030843064,20,0.0331556203,0.0292467902,同板块；过去20个交易日日收益率相关系数=0.5031，不低于阈值0.50；当前方向一致：龙头=3.3156%，候选=2.9247%，同为上涨
2018-04-19 14:59:00,2018-04-19,AL,CU,有色基本金属,向上,0.6044522667,20,0.0301346822,0.0158709770,同板块；过去20个交易日日收益率相关系数=0.6045，不低于阈值0.50；当前方向一致：龙头=3.0135%，候选=1.5871%，同为上涨
2018-04-19 14:59:00,2018-04-19,AL,NI,有色基本金属,向上,0.5030843064,20,0.0301346822,0.0318431725,同板块；过去20个交易日日收益率相关系数=0.5031，不低于阈值0.50；当前方向一致：龙头=3.0135%，候选=3.1843%，同为上涨
2018-04-19 14:59:00,2018-04-19,AG,AU,贵金属,向上,0.8547403022,20,0.0228830460,0.0026322862,同板块；过去20个交易日日收益率相关系数=0.8547，不低于阈值0.50；当前方向一致：龙头=2.2883%，候选=0.2632%，同为上涨
2018-04-19 15:00:00,2018-04-19,AL,CU,有色基本金属,向上,0.6044522667,20,0.0300897394,0.0161273140,同板块；过去20个交易日日收益率相关系数=0.6045，不低于阈值0.50；当前方向一致：龙头=3.0090%，候选=1.6127%，同为上涨
2018-04-19 15:00:00,2018-04-19,AL,NI,有色基本金属,向上,0.5030843064,20,0.0300897394,0.0314889786,同板块；过去20个交易日日收益率相关系数=0.5031，不低于阈值0.50；当前方向一致：龙头=3.0090%，候选=3.1489%，同为上涨
2018-04-19 15:00:00,2018-04-19,AG,AU,贵金属,向上,0.8547403022,20,0.0240989710,0.0027823028,同板块；过去20个交易日日收益率相关系数=0.8547，不低于阈值0.50；当前方向一致：龙头=2.4099%，候选=0.2782%，同为上涨
2018-05-17 13:59:00,2018-05-17,CY,CF,软商品纺织,向上,0.5488031964,20,0.0396117204,0.0014438721,同板块；过去20个交易日日收益率相关系数=0.5488，不低于阈值0.50；当前方向一致：龙头=3.9612%，候选=0.1444%，同为上涨
2018-05-17 15:00:00,2018-05-17,CY,CF,软商品纺织,向上,0.5488031964,20,0.0366363387,0.0000715584,同板块；过去20个交易日日收益率相关系数=0.5488，不低于阈值0.50；当前方向一致：龙头=3.6636%，候选=0.0072%，同为上涨
2018-05-21 10:59:00,2018-05-21,CF,CY,软商品纺织,向上,0.5240517220,20,0.0297621568,0.0348879837,同板块；过去20个交易日日收益率相关系数=0.5241，不低于阈值0.50；当前方向一致：龙头=2.9762%，候选=3.4888%，同为上涨
2018-05-21 11:30:00,2018-05-21,CF,CY,软商品纺织,向上,0.5240517220,20,0.0304792620,0.0348796165,同板块；过去20个交易日日收益率相关系数=0.5241，不低于阈值0.50；当前方向一致：龙头=3.0479%，候选=3.4880%，同为上涨
2018-05-21 14:59:00,2018-05-21,CF,CY,软商品纺织,向上,0.5240517220,20,0.0324377637,0.0348684837,同板块；过去20个交易日日收益率相关系数=0.5241，不低于阈值0.50；当前方向一致：龙头=3.2438%，候选=3.4868%，同为上涨
