交易日,识别时间,自然小时,板块,方向,龙头代码,龙头小时末时间,首次突破时间,首次突破价格,龙头当日涨跌幅,龙头当日持仓变化幅,当下日K极值,前20日突破价,涨跌幅阈值,增减仓阈值,前20日窗口开始,前20日窗口结束,跟随品种代码,跟随品种小时末时间,跟随品种当日涨跌幅,滞后一小时相关系数,相关样本数,下一实际交易小时时间,下一小时收益率,方向收益,后续是否同向
2018-08-16,2018-08-15 23:59:00,2018-08-15 23:00:00,贵金属,下跌,AU,2018-08-15 23:59:00,2018-08-15 21:04:00,267.0721826242,-0.0033724571,0.0175943147,266.4230251556,267.0727638482,0.0032495610,0.0124347419,2018-07-19 00:00:00,2018-08-15 00:00:00,AG,2018-08-15 23:59:00,-0.0199949053,0.3495043393,180,2018-08-16 00:59:00,0.0008276214,-0.0008276214,False
2018-08-16,2018-08-16 00:59:00,2018-08-16 00:00:00,贵金属,下跌,AU,2018-08-16 00:59:00,2018-08-15 21:04:00,267.0721826242,-0.0033888411,0.0173447499,266.2240384952,267.0727638482,0.0032495610,0.0124347419,2018-07-19 00:00:00,2018-08-15 00:00:00,AG,2018-08-16 00:59:00,-0.0191838321,0.3495043393,180,2018-08-16 01:59:00,-0.0002868401,0.0002868401,True
2018-09-03,2018-09-01 01:00:00,2018-09-01 01:00:00,有色基本金属,下跌,NI,2018-09-01 01:00:00,2018-08-31 21:49:00,107136.6434777540,-0.0212365979,0.1399368485,105078.3337421646,107185.7082051811,0.0212347380,0.0431737526,2018-08-06 00:00:00,2018-08-31 00:00:00,PB,2018-09-01 01:00:00,-0.0011236727,0.3027572830,160,2018-09-03 09:59:00,0.0107405551,-0.0107405551,False
2018-09-03,2018-09-03 11:30:00,2018-09-03 11:00:00,有色基本金属,下跌,NI,2018-09-03 11:30:00,2018-08-31 21:49:00,107136.6434777540,-0.0240967756,0.1106968294,104354.9148473679,107185.7082051811,0.0212347380,0.0431737526,2018-08-06 00:00:00,2018-08-31 00:00:00,PB,2018-09-03 11:30:00,-0.0009676690,0.3027572830,160,2018-09-03 13:59:00,0.0035846140,-0.0035846140,False
2019-08-23,2019-08-23 14:59:00,2019-08-23 14:00:00,油脂油料,上涨,A,2019-08-23 14:59:00,2019-08-22 22:06:00,3489.8793639730,0.0169712742,0.0535851294,3528.4553399263,3488.9565681640,0.0085093110,0.0461945344,2019-07-26 00:00:00,2019-08-22 00:00:00,B,2019-08-23 14:59:00,0.0104936859,0.3089858503,120,2019-08-23 15:00:00,0.0040138809,0.0040138809,True
2019-08-23,2019-08-23 15:00:00,2019-08-23 15:00:00,油脂油料,上涨,A,2019-08-23 15:00:00,2019-08-22 22:06:00,3489.8793639730,0.0170373344,0.0499319941,3528.4553399263,3488.9565681640,0.0085093110,0.0461945344,2019-07-26 00:00:00,2019-08-22 00:00:00,B,2019-08-23 15:00:00,0.0145496873,0.3089858503,120,2019-08-23 21:59:00,-0.0043303203,-0.0043303203,False
2019-09-02,2019-09-02 09:59:00,2019-09-02 09:00:00,油脂油料,上涨,A,2019-09-02 09:59:00,2019-08-30 22:43:00,3601.9072930175,0.0210956932,0.0687200691,3640.5149983313,3585.7986487502,0.0111388906,0.0399770449,2019-08-05 00:00:00,2019-08-30 00:00:00,B,2019-09-02 09:59:00,0.0267313218,0.3017939465,120,2019-09-02 10:59:00,0.0020917648,0.0020917648,True
2019-09-02,2019-09-02 10:59:00,2019-09-02 10:00:00,油脂油料,上涨,A,2019-09-02 10:59:00,2019-08-30 22:43:00,3601.9072930175,0.0204827802,0.0816476068,3651.5904914909,3585.7986487502,0.0111388906,0.0399770449,2019-08-05 00:00:00,2019-08-30 00:00:00,B,2019-09-02 10:59:00,0.0288790022,0.3017939465,120,2019-09-02 11:30:00,0.0012608788,0.0012608788,True
2019-09-02,2019-09-02 11:30:00,2019-09-02 11:00:00,油脂油料,上涨,A,2019-09-02 11:30:00,2019-08-30 22:43:00,3601.9072930175,0.0220646194,0.0810544405,3651.5904914909,3585.7986487502,0.0111388906,0.0399770449,2019-08-05 00:00:00,2019-08-30 00:00:00,B,2019-09-02 11:30:00,0.0301762940,0.3017939465,120,2019-09-02 13:59:00,-0.0008464791,-0.0008464791,False
2019-09-02,2019-09-02 13:59:00,2019-09-02 13:00:00,油脂油料,上涨,A,2019-09-02 13:59:00,2019-08-30 22:43:00,3601.9072930175,0.0207618616,0.0888615567,3651.5904914909,3585.7986487502,0.0111388906,0.0399770449,2019-08-05 00:00:00,2019-08-30 00:00:00,B,2019-09-02 13:59:00,0.0293042713,0.3017939465,120,2019-09-02 14:59:00,0.0018826461,0.0018826461,True
