交易日,识别时间,板块,方向,龙头代码,跟随品种代码列表,滞后相关系数列表
2018-08-16,2018-08-15 23:59:00,贵金属,下跌,AU,AG,0.3495043393
2018-08-16,2018-08-16 00:59:00,贵金属,下跌,AU,AG,0.3495043393
2018-09-03,2018-09-01 01:00:00,有色基本金属,下跌,NI,PB,0.3027572830
2018-09-03,2018-09-03 11:30:00,有色基本金属,下跌,NI,PB,0.3027572830
2019-08-23,2019-08-23 14:59:00,油脂油料,上涨,A,B,0.3089858503
2019-08-23,2019-08-23 15:00:00,油脂油料,上涨,A,B,0.3089858503
2019-09-02,2019-09-02 09:59:00,油脂油料,上涨,A,B,0.3017939465
2019-09-02,2019-09-02 10:59:00,油脂油料,上涨,A,B,0.3017939465
2019-09-02,2019-09-02 11:30:00,油脂油料,上涨,A,B,0.3017939465
2019-09-02,2019-09-02 13:59:00,油脂油料,上涨,A,B,0.3017939465
2019-09-02,2019-09-02 14:59:00,油脂油料,上涨,A,B,0.3017939465
2019-09-06,2019-09-06 09:59:00,油脂油料,下跌,RM,B,0.4177564969
2019-09-06,2019-09-06 11:30:00,油脂油料,下跌,RM,B,0.4177564969
2019-09-06,2019-09-06 14:59:00,油脂油料,下跌,RM,B,0.4177564969
2019-09-06,2019-09-06 15:00:00,油脂油料,下跌,RM,B,0.4177564969
2019-11-04,2019-11-04 09:59:00,果品,上涨,CJ,AP,0.4246297855
2019-11-04,2019-11-04 13:59:00,果品,上涨,CJ,AP,0.4246297855
2020-02-21,2020-02-21 14:59:00,煤化工建材,上涨,UR,SA,0.3757520188
2020-02-26,2020-02-26 13:59:00,黑色钢矿,下跌,SS,"RB,HC","0.4780687163,0.3764722795"
2020-02-26,2020-02-26 14:59:00,黑色钢矿,下跌,SS,"RB,HC","0.4780687163,0.3764722795"
2020-02-26,2020-02-26 15:00:00,黑色钢矿,下跌,SS,"RB,HC","0.4780687163,0.3764722795"
2020-02-28,2020-02-28 14:59:00,有色基本金属,下跌,AL,CU,0.3432547090
2020-02-28,2020-02-28 15:00:00,有色基本金属,下跌,AL,CU,0.3432547090
2020-03-16,2020-03-16 10:59:00,油脂油料,上涨,M,"RM,B","0.3539966441,0.3111003185"
2020-03-30,2020-03-30 09:59:00,油脂油料,上涨,B,RM,0.3191616598
2020-03-30,2020-03-30 09:59:00,烯烃塑料,下跌,V,L,0.3072000895
