识别时间,交易日,龙头品种,板块,方向,当前涨跌幅,当前增减仓幅度,前20日最高价或最低价,前20日平均涨跌幅绝对值,前20日平均增减仓幅度绝对值,首次突破时间,识别小时,历史窗口开始,历史窗口结束,触发原因
2016-09-12 10:59:00,2016-09-12,IF,金融期货,向下,-0.0176161515,-0.0511974972,3240.0443349754,0.0052954170,0.0084888643,2016-09-12 09:31:00,2016-09-12 10:00:00,2016-08-15,2016-09-09,low=3220.86 跌破前20日低点 3240.04；涨跌幅=-1.7616%，超过2倍前20日平均绝对涨跌幅 0.5295%；减仓幅度=-5.1197%，超过1.5倍前20日平均绝对增减仓幅度 0.8489%；首次突破时间=2016-09-12 09:31:00
2016-09-12 11:30:00,2016-09-12,IF,金融期货,向下,-0.0247329380,-0.0505633416,3240.0443349754,0.0052954170,0.0084888643,2016-09-12 09:31:00,2016-09-12 11:00:00,2016-08-15,2016-09-09,low=3207.54 跌破前20日低点 3240.04；涨跌幅=-2.4733%，超过2倍前20日平均绝对涨跌幅 0.5295%；减仓幅度=-5.0563%，超过1.5倍前20日平均绝对增减仓幅度 0.8489%；首次突破时间=2016-09-12 09:31:00
2016-09-12 13:59:00,2016-09-12,IF,金融期货,向下,-0.0241960236,-0.0488933984,3240.0443349754,0.0052954170,0.0084888643,2016-09-12 09:31:00,2016-09-12 13:00:00,2016-08-15,2016-09-09,low=3201.53 跌破前20日低点 3240.04；涨跌幅=-2.4196%，超过2倍前20日平均绝对涨跌幅 0.5295%；减仓幅度=-4.8893%，超过1.5倍前20日平均绝对增减仓幅度 0.8489%；首次突破时间=2016-09-12 09:31:00
2016-09-12 14:59:00,2016-09-12,IF,金融期货,向下,-0.0244820485,-0.0338639102,3240.0443349754,0.0052954170,0.0084888643,2016-09-12 09:31:00,2016-09-12 14:00:00,2016-08-15,2016-09-09,low=3201.53 跌破前20日低点 3240.04；涨跌幅=-2.4482%，超过2倍前20日平均绝对涨跌幅 0.5295%；减仓幅度=-3.3864%，超过1.5倍前20日平均绝对增减仓幅度 0.8489%；首次突破时间=2016-09-12 09:31:00
2016-09-12 15:00:00,2016-09-12,IF,金融期货,向下,-0.0249655731,-0.0322785211,3240.0443349754,0.0052954170,0.0084888643,2016-09-12 09:31:00,2016-09-12 15:00:00,2016-08-15,2016-09-09,low=3201.53 跌破前20日低点 3240.04；涨跌幅=-2.4966%，超过2倍前20日平均绝对涨跌幅 0.5295%；减仓幅度=-3.2279%，超过1.5倍前20日平均绝对增减仓幅度 0.8489%；首次突破时间=2016-09-12 09:31:00
2016-12-12 11:30:00,2016-12-12,IF,金融期货,向下,-0.0262548479,-0.0394497219,3377.6084526445,0.0058506625,0.0102950657,2016-12-12 11:16:00,2016-12-12 11:00:00,2016-11-14,2016-12-09,low=3364.21 跌破前20日低点 3377.61；涨跌幅=-2.6255%，超过2倍前20日平均绝对涨跌幅 0.5851%；减仓幅度=-3.9450%，超过1.5倍前20日平均绝对增减仓幅度 1.0295%；首次突破时间=2016-12-12 11:16:00
2017-02-20 13:59:00,2017-02-20,IF,金融期货,向上,0.0143055776,0.0648371133,3436.0979625191,0.0042257157,0.0125922083,2017-02-20 13:06:00,2017-02-20 13:00:00,2017-01-16,2017-02-17,high=3437.76 突破前20日高点 3436.1；涨跌幅=1.4306%，超过2倍前20日平均绝对涨跌幅 0.4226%；增仓幅度=6.4837%，超过1.5倍前20日平均绝对增减仓幅度 1.2592%；首次突破时间=2017-02-20 13:06:00
2017-02-20 14:59:00,2017-02-20,IF,金融期货,向上,0.0198350413,0.1502368539,3436.0979625191,0.0042257157,0.0125922083,2017-02-20 13:06:00,2017-02-20 14:00:00,2017-01-16,2017-02-17,high=3455.12 突破前20日高点 3436.1；涨跌幅=1.9835%，超过2倍前20日平均绝对涨跌幅 0.4226%；增仓幅度=15.0237%，超过1.5倍前20日平均绝对增减仓幅度 1.2592%；首次突破时间=2017-02-20 13:06:00
2017-02-20 15:00:00,2017-02-20,IF,金融期货,向上,0.0204828464,0.1567999577,3436.0979625191,0.0042257157,0.0125922083,2017-02-20 13:06:00,2017-02-20 15:00:00,2017-01-16,2017-02-17,high=3457.42 突破前20日高点 3436.1；涨跌幅=2.0483%，超过2倍前20日平均绝对涨跌幅 0.4226%；增仓幅度=15.6800%，超过1.5倍前20日平均绝对增减仓幅度 1.2592%；首次突破时间=2017-02-20 13:06:00
2017-08-25 14:59:00,2017-08-25,IF,金融期货,向上,0.0193417614,0.0295140230,3761.7175461776,0.0052928822,0.0123286308,2017-08-25 13:01:00,2017-08-25 14:00:00,2017-07-28,2017-08-24,high=3793.87 突破前20日高点 3761.72；涨跌幅=1.9342%，超过2倍前20日平均绝对涨跌幅 0.5293%；增仓幅度=2.9514%，超过1.5倍前20日平均绝对增减仓幅度 1.2329%；首次突破时间=2017-08-25 13:01:00
