RETURN_MULTIPLIER,OI_MULTIPLIER,CORRELATION_THRESHOLD,单边费率,交易次数,胜率,累计收益率,年化收益率,最大回撤,年化夏普比率
3.5,3.0,0.9,0.0,5.0,1.0,0.0268236764035538,0.0184944857600732,-0.0,1.177480881586576
4.0,2.5,0.9,0.0,5.0,1.0,0.0219727547235959,0.0151609707890325,-0.0,1.1388593531363194
4.0,3.0,0.9,0.0,5.0,1.0,0.0219727547235959,0.0151609707890325,-0.0,1.1388593531363194
5.0,2.5,0.9,0.0,5.0,0.8,0.0167135759765695,0.0115413993317317,-0.0,0.9833967602303204
5.0,3.0,0.9,0.0,5.0,0.8,0.0167135759765695,0.0115413993317317,-0.0,0.9833967602303204
5.0,2.5,0.6,0.0,17.0,0.8235294117647058,0.0618483421561293,0.0098812699355073,0.0003300099628433,0.9043701562267914
5.0,2.5,0.7,0.0,15.0,0.8,0.0619904425721724,0.0099034122534324,0.0003300099628434,0.891763267628326
4.5,2.5,0.9,0.0,5.0,0.8,0.0148347487426414,0.0102469215686686,-0.0,0.8898513880615706
4.5,3.0,0.9,0.0,5.0,0.8,0.0148347487426414,0.0102469215686686,-0.0,0.8898513880615706
4.5,2.5,0.6,0.0,19.0,0.8421052631578947,0.0535210947521842,0.0085793570865124,0.0003300099628433,0.8285841766736444
5.0,2.5,0.5,0.0,23.0,0.7391304347826086,0.0549809131104381,0.0088082110377485,0.0018517462340871,0.8256420485047363
5.0,3.0,0.6,0.0,16.0,0.875,0.0464779601214295,0.0080211195635442,0.0003300099628434,0.8205875250988582
4.0,2.0,0.7,0.0,31.0,0.8064516129032258,0.0648998200102923,0.0102160023705746,0.0028297596880837,0.8197000970673305
4.5,2.5,0.5,0.0,26.0,0.7692307692307693,0.05251999652946,0.0084222628203018,0.0018517462340871,0.8148899264012819
4.5,2.5,0.7,0.0,17.0,0.8235294117647058,0.0521113220749485,0.0083580969222665,0.0003300099628436,0.8106648762912508
4.0,2.0,0.5,0.0,57.0,0.7368421052631579,0.0708931696489525,0.0098495797088034,0.0028297596880837,0.8065191597613222
4.0,2.5,0.7,0.0,19.0,0.8421052631578947,0.068030051763029,0.010695406665953,0.0028297596880837,0.8038123755877642
5.0,1.5,0.6,0.0,36.0,0.7777777777777778,0.0521818692385389,0.0073897359075476,0.0004462842243199,0.8033292809934061
5.0,2.0,0.6,0.0,29.0,0.7586206896551724,0.0471646847558619,0.0075797689166465,0.0003300099628436,0.8026571938781348
5.0,1.5,0.7,0.0,30.0,0.8,0.0533212768064286,0.0075475648159597,0.0004462842243199,0.8020380962301976
4.5,3.0,0.6,0.0,16.0,0.875,0.0445095900651311,0.0076874339245296,0.0003300099628434,0.8007790753840726
5.0,2.0,0.7,0.0,24.0,0.7916666666666666,0.0472454725821587,0.0075925051372358,0.0003300099628434,0.7992003432267473
5.0,3.0,0.7,0.0,14.0,0.8571428571428571,0.0449762385816332,0.0077665888076972,0.0003300099628433,0.7957256070448764
3.5,3.0,0.7,0.0,19.0,0.8421052631578947,0.096196545411606,0.0149570126182385,0.0003300099628436,0.7909842324051282
4.5,3.0,0.5,0.0,22.0,0.8181818181818182,0.0461969367121732,0.0079735110680272,0.0018517462340871,0.7903885535831843
4.0,2.0,0.6,0.0,43.0,0.7441860465116279,0.0654950619813259,0.0091195624344788,0.0028297596880837,0.7784320419296601
4.5,3.0,0.7,0.0,14.0,0.8571428571428571,0.0430106931846439,0.0074329874261018,0.0003300099628433,0.7754646226707922
4.0,3.0,0.5,0.0,25.0,0.8,0.0633993473928418,0.0099857815248047,0.0018517462340871,0.7701943377661068
4.0,3.0,0.6,0.0,19.0,0.8421052631578947,0.0603598206679845,0.009518584347381,0.0003300099628433,0.7602190949897364
4.0,2.5,0.6,0.0,27.0,0.7407407407407407,0.068224879055768,0.0094891264565919,0.0028297596880837,0.7561672440649494
3.5,2.0,0.7,0.0,40.0,0.7,0.095078290839953,0.0147895799824329,0.0118295411614073,0.753087631742474
4.5,2.0,0.5,0.0,42.0,0.7142857142857143,0.0464527794791496,0.007467501342202,0.0018517462340871,0.7501236044823613
4.0,2.5,0.5,0.0,35.0,0.6857142857142857,0.0675510303888564,0.0093979757745956,0.0028297596880837,0.7498920354519489
5.0,2.5,0.8,0.0,9.0,0.7777777777777778,0.0198417696241315,0.0061085778358649,-0.0,0.7471323543890321
5.0,3.0,0.8,0.0,9.0,0.7777777777777778,0.0198417696241315,0.0061085778358649,-0.0,0.7471323543890321
5.0,2.0,0.5,0.0,38.0,0.7368421052631579,0.0452706853402402,0.0072809437726117,0.0018517462340871,0.7466529679958365
5.0,1.5,0.5,0.0,45.0,0.7555555555555555,0.049310447793565,0.0069913418971494,0.0018517462340871,0.7451742239998488
4.0,2.0,0.8,0.0,18.0,0.7222222222222222,0.0312606362282257,0.0049880611752284,0.0003300099628434,0.7445270944414231
5.0,3.5,0.8,0.0,7.0,0.7142857142857143,0.0056582139548395,0.0017504245870354,-0.0,0.7418868384826717
5.0,4.0,0.8,0.0,7.0,0.7142857142857143,0.0056582139548395,0.0017504245870354,-0.0,0.7418868384826717
5.0,4.5,0.8,0.0,7.0,0.7142857142857143,0.0056582139548395,0.0017504245870354,-0.0,0.7418868384826717
5.0,5.0,0.8,0.0,7.0,0.7142857142857143,0.0056582139548395,0.0017504245870354,-0.0,0.7418868384826717
4.0,3.0,0.7,0.0,16.0,0.875,0.0587917278890688,0.0092771179996244,0.0003300099628434,0.741640209787208
5.0,3.0,0.5,0.0,22.0,0.7727272727272727,0.0424564189242855,0.0073388198067612,0.0018517462340871,0.7348951659227453
3.5,4.0,0.6,0.0,18.0,0.7222222222222222,0.0725029446237954,0.0113784033798631,0.0003300099628436,0.7337284286934806
3.5,4.5,0.6,0.0,14.0,0.7857142857142857,0.0630172613944788,0.0108046785731659,0.0003392901523802,0.7327156462710307
3.5,4.0,0.5,0.0,19.0,0.7368421052631579,0.0718266811662124,0.0112752934842841,0.0003300099628434,0.7281358141019367
3.5,3.5,0.6,0.0,18.0,0.8888888888888888,0.0720175752107363,0.011304404624622,0.0003300099628433,0.7281032833262489
3.5,4.5,0.5,0.0,15.0,0.8,0.0619419112071388,0.0106247863856221,0.0003392901523798,0.722455548588323
3.5,3.5,0.7,0.0,15.0,0.8666666666666667,0.0703171148491244,0.0110449329922033,0.0003300099628433,0.7138475249474966
4.5,2.0,0.6,0.0,32.0,0.6875,0.0408348387730612,0.0065793036525236,0.0003300099628433,0.7124626925041754
3.5,3.0,0.6,0.0,24.0,0.8333333333333334,0.0876153118438394,0.0136684872122863,0.0097308164995895,0.7099105022026133
4.0,5.0,0.8,0.0,7.0,0.7142857142857143,0.0091592792936792,0.0028301129059298,-0.0,0.7098297528499025
3.5,5.0,0.8,0.0,7.0,0.8571428571428571,0.0350517307728002,0.0107358853062613,-0.0,0.7096449055083919
4.5,2.0,0.7,0.0,27.0,0.7037037037037037,0.040915138257356,0.0065920272268225,0.0003300099628434,0.7093939714859245
3.5,2.0,0.5,0.0,70.0,0.6571428571428571,0.0990638608216849,0.0136088689713791,0.0115220662153169,0.7074680839446172
3.5,2.0,0.6,0.0,54.0,0.6666666666666666,0.0965981998742979,0.0132831524141661,0.0118295411614074,0.7052499401784301
3.5,3.5,0.5,0.0,21.0,0.8095238095238095,0.0695725790668992,0.0109312161847234,0.0021645501439027,0.703337239594658
3.5,5.0,0.5,0.0,11.0,0.9090909090909092,0.0610764163368107,0.0104798912066106,0.0003300099628434,0.7023022838057027
3.5,5.0,0.6,0.0,11.0,0.9090909090909092,0.0610764163368107,0.0104798912066106,0.0003300099628434,0.7023022838057027
3.5,5.0,0.7,0.0,11.0,0.9090909090909092,0.0610764163368107,0.0104798912066106,0.0003300099628434,0.7023022838057027
4.5,2.5,0.8,0.0,9.0,0.7777777777777778,0.0183343789418006,0.0056473988834973,-0.0,0.7021193612563802
4.5,3.0,0.8,0.0,9.0,0.7777777777777778,0.0183343789418006,0.0056473988834973,-0.0,0.7021193612563802
3.5,2.5,0.7,0.0,26.0,0.7307692307692307,0.0863052341050405,0.0134710215824396,0.0115925496308582,0.6961961882570037
4.5,3.5,0.8,0.0,7.0,0.7142857142857143,0.0041717874654796,0.0012912433201999,-0.0,0.6946727957121039
4.5,4.0,0.8,0.0,7.0,0.7142857142857143,0.0041717874654796,0.0012912433201999,-0.0,0.6946727957121039
4.5,4.5,0.8,0.0,7.0,0.7142857142857143,0.0041717874654796,0.0012912433201999,-0.0,0.6946727957121039
4.5,5.0,0.8,0.0,7.0,0.7142857142857143,0.0041717874654796,0.0012912433201999,-0.0,0.6946727957121039
3.5,4.5,0.7,0.0,12.0,0.8333333333333334,0.0592071400689395,0.0101666172074521,0.0003444368150171,0.6935294479186398
